Episode,Reward sum
0,-25.0
50,-1234.0
100,-1239.0
150,-1241.0
200,-1239.0
250,-1211.0
300,-1238.0
350,-1238.0
400,-1229.0
450,-1234.0
500,-1238.0
550,-1239.0
600,-1242.0
650,-1232.0
700,-1228.0
750,-1239.0
800,-1221.0
850,-1241.0
900,-1238.0
950,-1239.0
1000,-1246.0
1050,-1241.0
1100,-1241.0
1150,-1247.0
1200,-1242.0
1250,-1240.0
1300,-1245.0
1350,-1243.0
1400,-1241.0
1450,-1235.0
1500,-1231.0
1550,-1232.0
1600,-1243.0
1650,-1238.0
1700,-1241.0
1750,-1238.0
1800,-1214.0
1850,-1239.0
1900,-1245.0
1950,-1229.0
2000,-1216.0
2050,-1244.0
2100,-1232.0
2150,-1228.0
2200,-1239.0
2250,-1234.0
2300,-1244.0
2350,-1246.0
2400,-1222.0
2450,-1249.0
2500,-1241.0
2550,-1231.0
2600,-1229.0
2650,-1238.0
2700,-1241.0
2750,-1238.0
2800,-1227.0
2850,-1228.0
2900,-1228.0
2950,-1240.0
3000,-1208.0
3050,-1241.0
3100,-1243.0
3150,-1237.0
3200,-1232.0
3250,-1236.0
3300,-1223.0
3350,-1238.0
3400,-1228.0
3450,-1238.0
3500,-1229.0
3550,-1225.0
3600,-1210.0
3650,-1221.0
3700,-1232.0
3750,-1241.0
3800,-1234.0
3850,-1229.0
3900,-1231.0
3950,-1226.0
4000,-1233.0
4050,-1232.0
4100,-1241.0
4150,-1236.0
4200,-1229.0
4250,-1223.0
4300,-1241.0
4350,-1216.0
4400,-1224.0
4450,-1201.0
4500,-1241.0
4550,-1224.0
4600,-1226.0
4650,-1233.0
4700,-1231.0
4750,-1235.0
4800,-1228.0
4850,-1228.0
4900,-1235.0
4950,-1235.0
5000,-1231.0
